caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 2028000ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 2025100ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 1556900ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 1720000ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 1916700ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 2009100ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 1851600ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 1867800ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 1644400ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 1924900ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 2180100ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 1938000ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 2366600ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 1766000ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 1912500ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 1923200ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 1593200ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 2047900ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 1832900ns
caso3 - Resultado: [A, A, A, A, A, A] - Tempo de Execução: 1834500ns
